basin name,scn,region name,location name,latitude,longitude,altitude,established,number,directory,basin water office data filename,Datatype
Rufiji Basin,1KB19,Hagafiro,Hagafiro,-9.5083,34.8167,,,57,Kilombero River Basin_Data,Hagafiro at Hagafiro dmf.txt,dmf
Rufiji Basin,1KB2,Kilombero,Ifakara,-8.15,36.6333,,,43,Kilombero River Basin_Data,Ifakara automet.txt,met
Rufiji Basin,1KB2,Kilombero,Ifakara,-8.15,36.6333,,,43,Kilombero River Basin_Data,Ifakara standard rainfall.txt,rain
Rufiji Basin,1KB26,Kiberege,Kiberege D/S,-8.0722,37.0167,,,61,Kilombero River Basin_Data,Kiberege at Kiberege water level ds.txt,waterlevel
Rufiji Basin,1KB26,Kiberege,Kiberege U/S,-8.0778,36.9556,,,62,Kilombero River Basin_Data,Kiberege at Kiberege water level ups.txt,waterlevel
Rufiji Basin,1KB31,Kig.Ruaha,Lugema(Mshongo),-8.7667,35.3333,,,67,Kilombero River Basin_Data,Kigogo Ruaha at Lugema water level.txt,waterlevel
Rufiji Basin,1KB4,Kilombero,Ifwema,-9.0167,36.0056,,,44,Kilombero River Basin_Data,Kilombero at Ifwema water level.txt,waterlevel
Rufiji Basin,1KB17,Kilombero,Swero,-8.2,37,,,53,Kilombero River Basin_Data,Kilombero at Swero dmf.txt,dmf
Rufiji Basin,1KB17,Kilombero,Swero,-8.2,37,,,53,Kilombero River Basin_Data,Kilombero at Swero water level.txt,waterlevel
Rufiji Basin,1KB14A,Lumemo,Kiburubutu,-8.1222,36.7222,,,49,Kilombero River Basin_Data,Lumemo River at Kiburubutu dmf.txt,dmf
Rufiji Basin,1KB14A,Lumemo,Kiburubutu,-8.1222,36.7222,,,49,Kilombero River Basin_Data,Lumemo River at Kiburubutu water level.txt,waterlevel
Rufiji Basin,1KB12A,Mchilipa,U/S Utete,-8.7611,36.4778,,,48,Kilombero River Basin_Data,Mchilipa at Itete water level.txt,waterlevel
Rufiji Basin,1KB15,Mgeta,D/S Mchombe Mis,-8.3333,36.1167,,,50,Kilombero River Basin_Data,Mngeta at Mchombe dmf.txt,dmf
Rufiji Basin,1KB15,Mgeta,D/S Mchombe Mis,-8.3333,36.1167,,,50,Kilombero River Basin_Data,Mngeta at Mchombe water level.txt,waterlevel
Rufiji Basin,1KB9,Mnyera,U/S Taveta Miss,-9.0167,35.5167,,,46,Kilombero River Basin_Data,Mnyera at Taveta ds water level.txt,waterlevel
Rufiji Basin,1KB9,Mnyera,U/S Taveta Miss,-9.0167,35.5167,,,46,Kilombero River Basin_Data,Mnyera at Taveta ups water level.txt,waterlevel
Rufiji Basin,1KB8,Mpanga,Mpanga Mission,-8.9778,35.9278,,,45,Kilombero River Basin_Data,Mpanga at Mpanga dmf.txt,dmf
Rufiji Basin,1KB8,Mpanga,Mpanga Mission,-8.9778,35.9278,,,45,Kilombero River Basin_Data,Mpanga at Mpanga water level.txt,waterlevel
Rufiji Basin,1KB18,Ruhudji,Njombe,-9.4,34.8333,,,55,Kilombero River Basin_Data,Njombe automet rain.txt,rain
Rufiji Basin,1KB18,Ruhudji,Njombe,-9.4,34.8333,,,55,Kilombero River Basin_Data,Njombe automet temperature.txt,temperature
Rufiji Basin,1KB18B,Ruhudji,B/L Kifung'a F.,-9.2833,34.8333,,,56,Kilombero River Basin_Data,Ruhudji at Below Kifung‰Ûªa Falls dmf.txt,dmf
Rufiji Basin,1KB18B,Ruhudji,B/L Kifung'a F.,-9.2833,34.8333,,,56,Kilombero River Basin_Data,Ruhudji at Below Kifung‰Ûªa Falls water level.txt,waterlevel
Rufiji Basin,1KB30,Ruhudji,Idonya Falls,-9.35,35.1667,,,66,Kilombero River Basin_Data,Ruhudji at Idonja Falls water level.txt,waterlevel
Rufiji Basin,1KB24,Sanje,Sanje,-7.6333,37.0111,,,59,Kilombero River Basin_Data,Sanje at Sanje water level.txt,waterlevel
Rufiji Basin,1KB23,Sonjo,Sonjo,-7.8,36.9667,,,58,Kilombero River Basin_Data,Sonjo at Sonjo water level.txt,waterlevel
Rufiji Basin,1KA59,Gt. Ruaha,Msembe,-7.75,34.9,,,35,RBWO_Great Ruaha Monitoring Station Data,Great Ruaha at Msembe dmf.txt,dmf
Rufiji Basin,1KA59,Gt. Ruaha,Msembe,-7.75,34.9,,,35,RBWO_Great Ruaha Monitoring Station Data,Great Ruaha at Msembe water level.txt,waterlevel
Rufiji Basin,1KA8A,Gt. Ruaha,Salimwani,-8.9,37.1167,,,9,RBWO_Great Ruaha Monitoring Station Data,Great Ruaha at Salimwani water level.txt,waterlevel
Rufiji Basin,1KA8A,Gt. Ruaha,Salimwani,-8.9,37.1167,,,9,RBWO_Great Ruaha Monitoring Station Data,Great Ruaha at Salimwani_dmf.txt,dmf
Rufiji Basin,1KA9,Kimani,Gt.N.Road,-9.85,34.1833,,,10,RBWO_Great Ruaha Monitoring Station Data,Kimani at GNR dmf.txt,dmf
Rufiji Basin,1KA9,Kimani,Gt.N.Road,-9.85,34.1833,,,10,RBWO_Great Ruaha Monitoring Station Data,Kimani at GNR water level.txt,waterlevel
Rufiji Basin,1KA32A,Lt. Ruaha,Makalala,-8.3333,35.3333,,,22,RBWO_Great Ruaha Monitoring Station Data,Little Ruaha at Makalala dmf.txt,dmf
Rufiji Basin,1KA32A,Lt. Ruaha,Makalala,-8.3333,35.3333,,,22,RBWO_Great Ruaha Monitoring Station Data,Little Ruaha at Makalala water level.txt,waterlevel
Rufiji Basin,1KA31,Lt. Ruaha,Mawande,-7.5,35.5,,,21,RBWO_Great Ruaha Monitoring Station Data,Little Ruaha at Mawande dmf.txt,dmf
Rufiji Basin,1KA31,Lt. Ruaha,Mawande,-7.5,35.5,,,21,RBWO_Great Ruaha Monitoring Station Data,Little Ruaha at Mawande water level.txt,waterlevel
Rufiji Basin,1KA2A,Lt. Ruaha,Iringa Ndiuka,-7.7833,35.7167,,,5,RBWO_Great Ruaha Monitoring Station Data,Little Ruaha at Ndiuka dmf.txt,dmf
Rufiji Basin,1KA2A,Lt. Ruaha,Iringa Ndiuka,-7.7833,35.7167,,,5,RBWO_Great Ruaha Monitoring Station Data,Little Ruaha at Ndiuka waterlevel.txt,waterlevel
Rufiji Basin,1KA11A,Mbarali,Igawa,-8.7833,34.3667,,,12,RBWO_Great Ruaha Monitoring Station Data,Mbarali River at Igawa dmf.txt,dmf
Rufiji Basin,1KA11A,Mbarali,Igawa,-8.7833,34.3667,,,12,RBWO_Great Ruaha Monitoring Station Data,Mbarali River at Igawa water level.txt,waterlevel
Rufiji Basin,1KA15A,Ndembera,Ilonga,-8.2833,35.3111,,,14,RBWO_Great Ruaha Monitoring Station Data,Ndembera River at Ilongo dmf.txt,dmf
Rufiji Basin,1KA15A,Ndembera,Ilonga,-8.2833,35.3111,,,14,RBWO_Great Ruaha Monitoring Station Data,Ndembera River at Ilongo water level.txt,waterlevel
Lake Nyasa Basin,,Kilondo,Kilondo,-9.7333,34.3,,,,,,name
Lake Nyasa Basin,,Kitewaka,Muhumbi D/S,-10.25,34.8,,,,,,name
Lake Nyasa Basin,,Kitewaka,Maboga,-9.8833,34.8,,,,,,name
Lake Nyasa Basin,,Kiwira,Kyela Ipyana,-9.6167,33.8667,,,,,,name
Lake Nyasa Basin,,Kiwira,Natural Bridge,-9.2667,33.55,,,,,,name
Lake Nyasa Basin,,Kiwira,u/s Kiwira Vil.,-9.1667,33.5333,,,,,,name
Lake Nyasa Basin,,L.Nyasa,Nsungu,-10.4667,34.5833,,,,,,name
Lake Nyasa Basin,,L.Nyasa,Itungi Port,-9.75,33.95,,,,,,name
Lake Nyasa Basin,,Lufirio,Lufirio,-9.3167,33.9167,,,,,,name
Lake Nyasa Basin,,Lumbila,Lumbila,-9.5833,34.15,,,,,,name
Lake Nyasa Basin,,Mbaka,Mwaya,-9.55,33.8833,,,,,,name
Lake Nyasa Basin,,Nyitule,Idope,-9.2833,33.9667,,,,,,name
Lake Nyasa Basin,,Ruhuhu,Kikonge,-10.4333,34.8,,,,,,name
Lake Nyasa Basin,,Ruhuhu,Masigira conf.,-9.9333,35.1833,,,,,,name
Lake Nyasa Basin,,Rumakali,Humage,-9.3333,34.0333,,,,,,name
Lake Nyasa Basin,,Rutakira,New Rd.Brg/s,-10.3,35.1333,,,,,,name
Lake Nyasa Basin,,Songwe,Kasumulu,-9.5833,33.6667,,,,,,name
Lake Rukwa Basin,3E2A,Kikamba,D/S Kapalala,-8.05,32.6333,,,33,,,name
Lake Rukwa Basin,3B1,L.Rukwa,Mbagala,-8.3667,32.8667,,,11,,,name
Lake Rukwa Basin,3CD2A,Luiche,Kizungu,-7.7167,31.6167,,,27,,,name
Lake Rukwa Basin,3CD2,Luiche,Usia,-7.7167,31.6167,,,26,,,name
Lake Rukwa Basin,3.00E+01,Luika,Luika,-8.4,32.9167,,,32,,,name
Lake Rukwa Basin,3C5,Lukima,US Rungwa Vil.,-7.25,31.6667,,,20,,,name
Lake Rukwa Basin,3.00E+08,Lukwate,Mkunda Hill,-7.7,32.45,,,36,,,name
Lake Rukwa Basin,3A18,Lupa,Lupa Tingatinga,-8.0167,33.2833,,,10,,,name
Lake Rukwa Basin,3A15,Lupa,Itigi Road,-7.95,33.4167,,,7,,,name
Lake Rukwa Basin,3A16A,Lupa,Lupa Market,-7.95,33,,,8,,,name
Lake Rukwa Basin,3CC2,Mfwizi,Mtatumbila,-7.55,31.1667,,,23,,,name
Lake Rukwa Basin,3CC3,Mfwizi,Paramawe,-7.2833,31.0833,,,24,,,name
Lake Rukwa Basin,3DA4,Mise,Ijajiri,-7.2333,32.9917,,,31,,,name
Lake Rukwa Basin,3A14A,Mlowu,Gt.North Rd.,-9,33,,,6,,,name
Lake Rukwa Basin,3B2,Momba,DS con Mtembwa,-8.6833,32.3833,,,12,,,name
Lake Rukwa Basin,3B8,Mpemba,Gt.North Rd.,-9.2333,32.8333,,,14,,,name
Lake Rukwa Basin,3B13,Mpemba,Kombe,-8.9833,32.6333,,,15,,,name
Lake Rukwa Basin,3B15,Mtembwa,Kapoma,-8.7833,32.3667,,,17,,,name
Lake Rukwa Basin,3B15A,Mtembwa,Luashod/Skapoma,-8.7333,32.3333,,,18,,,name
Lake Rukwa Basin,3CD1,Muse,US Muse Vill.,-7.7167,31.5333,,,25,,,name
Lake Rukwa Basin,3DA2,Muse,Msisi,-6.9444,33.4333,,,29,,,name
Lake Rukwa Basin,3B14,Mviko,Kaziala,-9.1333,32.6333,,,16,,,name
Lake Rukwa Basin,3A8,Myovisi,Gt.North Rd.,-8.9833,33.0667,,,5,,,name
Lake Rukwa Basin,3DA3,Piti,Mtambalawa,-7.4833,33.4167,,,30,,,name
Lake Rukwa Basin,3A7A,Ruanda,US Gt.N.Road,-9.1,33.95,,,4,,,name
Lake Rukwa Basin,3D4,Rungwa,Makongolos/Itig,-6.9333,33.625,,,28,,,name
Lake Rukwa Basin,3B6,Saisi,Momba,-8.7333,31.9833,,,13,,,name
Lake Rukwa Basin,3B16A,Samvia,Yunga,-8.4,31.1333,,,19,,,name
Lake Rukwa Basin,3A2A,Songwe,Iwe,-8.9,33.2167,,,1,,,name
Lake Rukwa Basin,3A17,Songwe,Igalula,-8.6,33.1167,,,9,,,name
Lake Rukwa Basin,3.00E+04,Wuku,Mkamba,-7.7333,32.1833,,,34,,,name
Lake Rukwa Basin,3.00E+05,Yeye,Kolole,-7.6,32.05,,,35,,,name
Lake Tanganyika Basin,4H1,Kalambo,Kalambo Falls,-8.6,31.2944,,,,,,name
Lake Tanganyika Basin,4G2A,Luamfi,Masolo,-7.4667,30.7333,,,,,,name
Lake Tanganyika Basin,4AH21,Miungu,Magawe,-6.6667,33.4167,,,,,,name
Lake Tanganyika Basin,4AH17,Mungo,Miungu,-6.6806,33.7,,,,,,name
Lake Tanganyika Basin,4AH20,Nkululu,Magawe,-6.65,33.45,,,,,,name
Lake Tanganyika Basin,4G3,Samba,Masolo,-7.4667,30.7889,,,,,,name
Rufiji Basin,1KA62,Bubu,Chiboli,-6.7833,35.7667,,,37,,,name
Rufiji Basin,1KA58A,Chabi,Chabi,-7.3833,36.5333,,,34,,,name
Rufiji Basin,1KA7A,Chimala,Chitekelo,-8.9167,33.9667,,,8,,,name
Rufiji Basin,1KA64,Fufu,Fufu,-6.7333,35.9167,,,39,,,name
Rufiji Basin,1KB16,Furua,Malinyi Mission,-8.9722,36.1889,,,52,,,name
Rufiji Basin,1KA8A,Gt. Ruaha,Salimwani,-8.9,37.1167,,,9,,,name
Rufiji Basin,1KA27,Gt. Ruaha,Hausmanns Br Mk,-8,34.5833,,,20,,,name
Rufiji Basin,1KA59,Gt. Ruaha,Msembe,-7.75,34.9,,,35,,,name
Rufiji Basin,1KA61,Gt. Ruaha,Gorge,-7.5833,36.7833,,,36,,,name
Rufiji Basin,1KA3A,Gt. Ruaha,Kidatu,-7.2389,37.1389,,,6,,,name
Rufiji Basin,1KA5,Gt. Ruaha,Mtera,-7.0833,35.9833,,,7,,,name
Rufiji Basin,1KB19,Hagafiro,Hagafiro,-9.5083,34.8167,,,57,,,name
Rufiji Basin,1KA12,Halali,D/S Iyayi,-8.85,34.5667,,,13,,,name
Rufiji Basin,1KA23A,Hukuni,Iyayi,-8.9333,34.6333,,,19,,,name
Rufiji Basin,1KA45A,Ipatagwa,Gt. N.Road,-8.8167,33.6667,,,29,,,name
Rufiji Basin,1KB26,Kiberege,Kiberege U/S,-8.0778,36.9556,,,62,,,name
Rufiji Basin,1KB26,Kiberege,Kiberege D/S,-8.0722,37.0167,,,61,,,name
Rufiji Basin,1KB31,Kig.Ruaha,Lugema(Mshongo),-8.7667,35.3333,,,67,,,name
Rufiji Basin,1KB4,Kilombero,Ifwema,-9.0167,36.0056,,,44,,,name
Rufiji Basin,1KB17,Kilombero,Swero,-8.2,37,,,53,,,name
Rufiji Basin,1KB2,Kilombero,Ifakara,-8.15,36.6333,,,43,,,name
Rufiji Basin,1KA9,Kimani,Gt.N.Road,-9.85,34.1833,,,10,,,name
Rufiji Basin,1KA42,Kisigo,Kinuguru,-6.9667,35.4167,,,28,,,name
Rufiji Basin,1KA16,Liosi,Igulusi,-8.8333,33.85,,,15,,,name
Rufiji Basin,1KA32A,Lt. Ruaha,Makalala,-8.3333,35.3333,,,22,,,name
Rufiji Basin,1KA39A,Lt. Ruaha,U/S Iwawa,-8.05,35.6833,,,26,,,name
Rufiji Basin,1KA2A,Lt. Ruaha,Iringa Ndiuka,-7.7833,35.7167,,,5,,,name
Rufiji Basin,1KA31,Lt. Ruaha,Mawande,-7.5,35.5,,,21,,,name
Rufiji Basin,1KA21A,Lt.Ruaha,Ihimbu,-7.8833,35.8,,,17,,,name
Rufiji Basin,1KB29,Luhombero,Luhombero,-8.7444,37.1778,,,65,,,name
Rufiji Basin,1KA37A,Lukosi,Mtandika,-7.5667,36.4333,,,24,,,name
Rufiji Basin,1KB14A,Lumemo,Kiburubutu,-8.1222,36.7222,,,49,,,name
Rufiji Basin,1KA16A,Lunwa,Igurusi,-8.9194,33.9556,,,16,,,name
Rufiji Basin,1KA67,Mamio,Kalanzi,-8.8889,33.85,,,42,,,name
Rufiji Basin,1KA11A,Mbarali,Igawa,-8.7833,34.3667,,,12,,,name
Rufiji Basin,1KB12A,Mchilipa,U/S Utete,-8.7611,36.4778,,,48,,,name
Rufiji Basin,1KA65,Meta,Napunga,-8.8167,33.9,,,40,,,name
Rufiji Basin,1KB15A,Mgeta,U/S Bridge,-8.3611,36.1111,,,51,,,name
Rufiji Basin,1KB15,Mgeta,D/S Mchombe Mis,-8.3333,36.1167,,,50,,,name
Rufiji Basin,1KA10A,Mlomboji,Mlomboji,-8.7833,34.35,,,11,,,name
Rufiji Basin,1KA66,Mlowo,Ilongo,-8.8389,33.8333,,,41,,,name
Rufiji Basin,1KB9,Mnyera,U/S Taveta Miss,-9.0167,35.5167,,,46,,,name
Rufiji Basin,1KB8,Mpanga,Mpanga Mission,-8.9778,35.9278,,,45,,,name
Rufiji Basin,1KA50B,Mswiswi,Wilima,-8.8694,33.7667,,,31,,,name
Rufiji Basin,1KA50A,Mswiswi,Wilima,-8.7833,33.8667,,,30,,,name
Rufiji Basin,1KA22,Mtitu,Mtitu,-8.0167,35.7833,,,18,,,name
Rufiji Basin,1KA57A,Mwega,Malolo,-7.4,36.6,,,33,,,name
Rufiji Basin,1KB25,Nangaje,Nangaje,-8.1167,36.6833,,,60,,,name
Rufiji Basin,1KA15A,Ndembera,Ilonga,-8.2833,35.3111,,,14,,,name
Rufiji Basin,1KA33A,Ndembera,Madibira,-8.2333,34.8,,,23,,,name
Rufiji Basin,1KA63,Nyabu,Loje,-6.8667,35.9333,,,38,,,name
Rufiji Basin,1KA56,Ruaha,Malangali,-8.6333,34.85,,,32,,,name
Rufiji Basin,1K4A,Rufiji,D/S Utete,-8,38.75,,,3,,,name
