basin_name,scn,region_name,location_name,latitude,longitude,number,basin_water_office_data_filename,datatype,the_geom,cartodb_id,created_at,updated_at,has_data
Lake Rukwa Basin,3B13,Mpemba,Kombe,-8.9833,32.6333,15,,,0101000020E6100000454772F90F5140404850FC1873F721C0,34,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3B15,Mtembwa,Kapoma,-8.7833,32.3667,17,,,0101000020E6100000BBB88D06F02E4040E2E995B20C9121C0,35,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3B15A,Mtembwa,Luashod/Skapoma,-8.7333,32.3333,18,,,0101000020E6100000DFE00B93A92A40404850FC18737721C0,36,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3CD1,Muse,US Muse Vill.,-7.7167,31.5333,25,,,0101000020E6100000F1F44A5986883F403D2CD49AE6DD1EC0,37,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3DA2,Muse,Msisi,-6.9444,33.4333,29,,,0101000020E6100000ACADD85F76B740409E5E29CB10C71BC0,38,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3B14,Mviko,Kaziala,-9.1333,32.6333,16,,,0101000020E6100000454772F90F514040151DC9E53F4422C0,39,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3A8,Myovisi,Gt.North Rd.,-8.9833,33.0667,5,,,0101000020E6100000545227A0898840404850FC1873F721C0,40,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3DA3,Piti,Mtambalawa,-7.4833,33.4167,30,,,0101000020E6100000211FF46C56B5404090A0F831E6EE1DC0,41,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Tanganyika Basin,4G2A,Luamfi,Masolo,-7.4667,30.7333,,,,0101000020E610000024287E8CB9BB3E403D2CD49AE6DD1DC0,51,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Tanganyika Basin,4AH21,Miungu,Magawe,-6.6667,33.4167,,,,0101000020E6100000211FF46C56B5404009F9A067B3AA1AC0,52,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Tanganyika Basin,4AH17,Mungo,Miungu,-6.6806,33.7,,,,0101000020E61000009A99999999D9404062A1D634EFB81AC0,53,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Tanganyika Basin,4AH20,Nkululu,Magawe,-6.65,33.45,,,,0101000020E61000009A99999999B940409A99999999991AC0,54,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Tanganyika Basin,4G3,Samba,Masolo,-7.4667,30.7889,,,,0101000020E61000007DD0B359F5C93E403D2CD49AE6DD1DC0,55,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA62,Bubu,Chiboli,-6.7833,35.7667,37,,,0101000020E6100000EEEBC03923E24140C3D32B6519221BC0,56,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA58A,Chabi,Chabi,-7.3833,36.5333,34,,,0101000020E6100000787AA52C434442402A3A92CB7F881DC0,57,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA7A,Chimala,Chitekelo,-8.9167,33.9667,8,,,0101000020E610000088855AD3BCFB4040857CD0B359D521C0,58,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA64,Fufu,Fufu,-6.7333,35.9167,39,,,0101000020E6100000211FF46C56F5414090A0F831E6EE1AC0,59,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB16,Furua,Malinyi Mission,-8.9722,36.1889,52,,,0101000020E6100000711B0DE02D184240A857CA32C4F121C0,60,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA8A,Gt. Ruaha,Salimwani,-8.9,37.1167,9,,,0101000020E6100000BBB88D06F08E4240CDCCCCCCCCCC21C0,62,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA27,Gt. Ruaha,Hausmanns Br Mk,-8,34.5833,20,,,0101000020E6100000DFE00B93A94A414000000000000020C0,64,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA59,Gt. Ruaha,Msembe,-7.75,34.9,35,,,0101000020E610000033333333337341400000000000001FC0,66,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA61,Gt. Ruaha,Gorge,-7.5833,36.7833,36,,,0101000020E6100000787AA52C43644240F7065F984C551EC0,68,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA3A,Gt. Ruaha,Kidatu,-7.2389,37.1389,6,,,0101000020E61000000BB5A679C7914240BF0E9C33A2F41CC0,69,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA5,Gt. Ruaha,Mtera,-7.0833,35.9833,7,,,0101000020E610000012143FC6DCFD4140F7065F984C551CC0,70,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB19,Hagafiro,Hagafiro,-9.5083,34.8167,57,,,0101000020E6100000545227A089684140151DC9E53F0423C0,72,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA12,Halali,D/S Iyayi,-8.85,34.5667,13,,,0101000020E6100000545227A0894841403333333333B321C0,73,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA23A,Hukuni,Iyayi,-8.9333,34.6333,19,,,0101000020E6100000454772F90F514140AEB6627FD9DD21C0,74,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KA45A,Ipatagwa,Gt. N.Road,-8.8167,33.6667,29,,,0101000020E6100000211FF46C56D5404052499D8026A221C0,75,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB26,Kiberege,Kiberege U/S,-8.0778,36.9556,62,,,0101000020E61000005F07CE19517A4240F241CF66D52720C0,76,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB26,Kiberege,Kiberege D/S,-8.0722,37.0167,61,,,0101000020E6100000EEEBC03923824240DB8AFD65F72420C0,78,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB31,Kig.Ruaha,Lugema(Mshongo),-8.7667,35.3333,67,,,0101000020E6100000DFE00B93A9AA4140B8AF03E78C8821C0,80,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1K3A,Rufiji,Pangani Rapids,-7.8167,37.95,2,,,0101000020E61000009A99999999F94240A3923A014D441FC0,143,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1K3,Rufiji,Stiegler's Gorg,-7.8,37.9167,1,,,0101000020E6100000211FF46C56F542403333333333331FC0,144,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1K7,Rufiji,Kidai Ferry,-7.7833,35.95,4,,,0101000020E61000009A99999999F94140C3D32B6519221FC0,145,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB18,Ruhudji,Njombe,-9.4278,34.8056,54,,,0101000020E61000002CD49AE61D6741402575029A08DB22C0,146,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB18A,Ruhudji,Njombe,-9.4,34.8333,55,,,0101000020E6100000DFE00B93A96A4140CDCCCCCCCCCC22C0,147,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB30,Ruhudji,Idonya Falls,-9.35,35.1667,66,,,0101000020E6100000211FF46C569541403333333333B322C0,150,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB18B,Ruhudji,B/L Kifung'a F.,-9.2833,34.8333,56,,,0101000020E6100000DFE00B93A96A4140E2E995B20C9122C0,153,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Rufiji Basin,1KB10,Ruhudji,Mwayamulungu,-8.95,36.9833,47,,,0101000020E610000012143FC6DC7D42406666666666E621C0,155,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Nyasa Basin,,Kilondo,Kilondo,-9.7333,34.3,,,,0101000020E610000066666666662641404850FC18737723C0,1,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Nyasa Basin,,Kitewaka,Muhumbi D/S,-10.25,34.8,,,,0101000020E6100000666666666666414000000000008024C0,2,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Nyasa Basin,,Kitewaka,Maboga,-9.8833,34.8,,,,0101000020E61000006666666666664140151DC9E53FC423C0,3,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3A7A,Ruanda,US Gt.N.Road,-9.1,33.95,4,,,0101000020E61000009A99999999F9404033333333333322C0,42,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3D4,Rungwa,Makongolos/Itig,-6.9333,33.625,28,,,0101000020E61000000000000000D040405D6DC5FEB2BB1BC0,43,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3B6,Saisi,Momba,-8.7333,31.9833,13,,,0101000020E610000024287E8CB9FB3F404850FC18737721C0,44,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3B16A,Samvia,Yunga,-8.4,31.1333,19,,,0101000020E61000008A8EE4F21F223F40CDCCCCCCCCCC20C0,45,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3A2A,Songwe,Iwe,-8.9,33.2167,1,,,0101000020E610000088855AD3BC9B4040CDCCCCCCCCCC21C0,46,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3A17,Songwe,Igalula,-8.6,33.1167,9,,,0101000020E6100000BBB88D06F08E404033333333333321C0,47,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3.00E+04,Wuku,Mkamba,-7.7333,32.1833,34,,,0101000020E6100000ACADD85F7617404090A0F831E6EE1EC0,48,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
Lake Rukwa Basin,3.00E+05,Yeye,Kolole,-7.6,32.05,35,,,0101000020E610000066666666660640406666666666661EC0,49,2014-06-26 19:58:33.348397+00,2014-07-19 17:52:35.509763+00,FALSE
